schema,table_name,index_name,indexdef,is_unique,is_primary,is_valid,is_ready,is_partial,has_expressions,key_atts,total_atts,constraint_owned,constraint_type,index_bytes,idx_scan,idx_tup_read,idx_tup_fetch,last_idx_scan
plm,lucasfilm_dcp_asset_term_observation,lucasfilm_dcp_asset_term_obs_pkey,"CREATE UNIQUE INDEX lucasfilm_dcp_asset_term_obs_pkey ON plm.lucasfilm_dcp_asset_term_observation USING btree (metadata_run_id, lucasfilm_dcp_asset_id, lucasfilm_dcp_term_id)",True,True,True,True,False,False,3,3,True,p,25804800,0,0,0,
public,assets,idx_assets_program_trgm,CREATE INDEX idx_assets_program_trgm ON public.assets USING gin (program extensions.gin_trgm_ops),False,False,True,True,False,False,1,1,False,,25264128,0,0,0,
public,style_guide_tagging_state,style_guide_tagging_state_pkey,"CREATE UNIQUE INDEX style_guide_tagging_state_pkey ON public.style_guide_tagging_state USING btree (style_guide_file_id, pipeline)",True,True,True,True,False,False,2,2,True,p,22978560,1567924,3572203,3559438,2026-09-04 17:30:11.246708-04
public,style_guide_file_tags,idx_style_guide_file_tags_file_status,"CREATE INDEX idx_style_guide_file_tags_file_status ON public.style_guide_file_tags USING btree (style_guide_file_id, status)",False,False,True,True,False,False,2,2,False,,22609920,0,0,0,
plm,dcp_asset_crawl,dcp_asset_crawl_pkey,"CREATE UNIQUE INDEX dcp_asset_crawl_pkey ON plm.dcp_asset_crawl USING btree (crawl_id, dcp_asset_id)",True,True,True,True,False,False,2,2,True,p,21872640,0,0,0,
plm,dcp_asset_crawl,dcp_asset_crawl_pkey,"CREATE UNIQUE INDEX dcp_asset_crawl_pkey ON plm.dcp_asset_crawl USING btree (crawl_id, dcp_asset_id)",True,True,True,True,False,False,2,2,True,f,21872640,0,0,0,
public,assets,idx_assets_quick_hash,CREATE INDEX idx_assets_quick_hash ON public.assets USING btree (quick_hash),False,False,True,True,False,False,1,1,False,,20881408,18789,20506,20131,2026-09-04 16:46:25.63634-04
public,style_guide_files,idx_sgf_crawl_run_id,CREATE INDEX idx_sgf_crawl_run_id ON public.style_guide_files USING btree (crawl_run_id),False,False,True,True,False,False,1,1,False,,20586496,6,653916,435999,2026-09-03 12:38:25.845397-04
plm,nbcu_asset_metadata_value,idx_nbcu_asset_metadata_value_field,"CREATE INDEX idx_nbcu_asset_metadata_value_field ON plm.nbcu_asset_metadata_value USING btree (field_name, value_text)",False,False,True,True,False,False,2,2,False,,20365312,2,2414066,207760,2026-08-30 20:41:28.391866-04
public,style_guide_files,style_guide_files_pkey,CREATE UNIQUE INDEX style_guide_files_pkey ON public.style_guide_files USING btree (id),True,True,True,True,False,False,1,1,True,f,20037632,1598634,3167587,1588157,2026-09-04 17:30:11.246708-04
public,style_guide_files,style_guide_files_pkey,CREATE UNIQUE INDEX style_guide_files_pkey ON public.style_guide_files USING btree (id),True,True,True,True,False,False,1,1,True,f,20037632,1598634,3167587,1588157,2026-09-04 17:30:11.246708-04
public,style_guide_files,style_guide_files_pkey,CREATE UNIQUE INDEX style_guide_files_pkey ON public.style_guide_files USING btree (id),True,True,True,True,False,False,1,1,True,f,20037632,1598634,3167587,1588157,2026-09-04 17:30:11.246708-04
public,style_guide_files,style_guide_files_pkey,CREATE UNIQUE INDEX style_guide_files_pkey ON public.style_guide_files USING btree (id),True,True,True,True,False,False,1,1,True,p,20037632,1598634,3167587,1588157,2026-09-04 17:30:11.246708-04
public,style_guide_files,style_guide_files_pkey,CREATE UNIQUE INDEX style_guide_files_pkey ON public.style_guide_files USING btree (id),True,True,True,True,False,False,1,1,True,f,20037632,1598634,3167587,1588157,2026-09-04 17:30:11.246708-04
public,style_guide_files,style_guide_files_pkey,CREATE UNIQUE INDEX style_guide_files_pkey ON public.style_guide_files USING btree (id),True,True,True,True,False,False,1,1,True,f,20037632,1598634,3167587,1588157,2026-09-04 17:30:11.246708-04
public,style_guide_files,idx_style_guide_files_active_modified,"CREATE INDEX idx_style_guide_files_active_modified ON public.style_guide_files USING btree (modified_at DESC NULLS LAST, filename) WHERE is_active",False,False,True,True,True,False,2,2,False,,18948096,0,0,0,
plm,dcp_asset_term_observation,idx_dcp_asset_term_obs_term,CREATE INDEX idx_dcp_asset_term_obs_term ON plm.dcp_asset_term_observation USING btree (dcp_term_id),False,False,True,True,False,False,1,1,False,,18399232,0,0,0,
public,assets,idx_assets_primary_sort_tier,"CREATE INDEX idx_assets_primary_sort_tier ON public.assets USING btree (style_group_id, primary_sort_tier, created_at) WHERE (is_deleted = false)",False,False,True,True,True,False,3,3,False,,17743872,1076665,15969745,13954322,2026-09-04 17:02:59.820394-04
ingest,raw_record,raw_record_source_system_source_table_source_id_key,"CREATE UNIQUE INDEX raw_record_source_system_source_table_source_id_key ON ingest.raw_record USING btree (source_system, source_table, source_id)",True,False,True,True,False,False,3,3,True,u,17653760,0,0,0,
public,style_guide_files,idx_sgf_property_folder,CREATE INDEX idx_sgf_property_folder ON public.style_guide_files USING btree (property_folder),False,False,True,True,False,False,1,1,False,,17588224,1,232,232,2026-09-04 17:21:16.970857-04
plm,pmt_asset_collection,pmt_asset_collection_pkey,"CREATE UNIQUE INDEX pmt_asset_collection_pkey ON plm.pmt_asset_collection USING btree (capture_id, asset_id, collection_source_id)",True,True,True,True,False,False,3,3,True,p,17080320,0,0,0,
public,style_guide_files,idx_sgf_normalized_name,CREATE INDEX idx_sgf_normalized_name ON public.style_guide_files USING btree (normalized_name),False,False,True,True,False,False,1,1,False,,16883712,0,0,0,
plm,pmt_asset_metadata_value,idx_pmt_amv_asset,"CREATE INDEX idx_pmt_amv_asset ON plm.pmt_asset_metadata_value USING btree (capture_id, asset_id)",False,False,True,True,False,False,2,2,False,,15982592,0,0,0,
public,dam_search_documents,idx_dam_search_documents_program_trgm,CREATE INDEX idx_dam_search_documents_program_trgm ON public.dam_search_documents USING gin (program extensions.gin_trgm_ops),False,False,True,True,False,False,1,1,False,,15810560,63,4976,0,2026-08-31 19:44:46.985805-04
plm,marvel_asgard_asset_term_observation,marvel_asgard_asset_term_observation_pkey,"CREATE UNIQUE INDEX marvel_asgard_asset_term_observation_pkey ON plm.marvel_asgard_asset_term_observation USING btree (capture_key, asset_id, term_id)",True,True,True,True,False,False,3,3,True,p,15794176,0,0,0,
plm,pmt_authorized_property_asset,pmt_authorized_property_asset_pkey,"CREATE UNIQUE INDEX pmt_authorized_property_asset_pkey ON plm.pmt_authorized_property_asset USING btree (capture_id, licensed_property_source_id, asset_id)",True,True,True,True,False,False,3,3,True,p,15613952,0,0,0,
plm,dcp_asset_term_observation,idx_dcp_asset_term_obs_run,CREATE INDEX idx_dcp_asset_term_obs_run ON plm.dcp_asset_term_observation USING btree (metadata_run_id),False,False,True,True,False,False,1,1,False,,15138816,2,4655980,717452,2026-08-30 20:41:28.391866-04
plm,pmt_asset_property,pmt_asset_property_pkey,"CREATE UNIQUE INDEX pmt_asset_property_pkey ON plm.pmt_asset_property USING btree (capture_id, asset_id, property_source_id)",True,True,True,True,False,False,3,3,True,p,14761984,0,0,0,
plm,pmt_asset_brand,pmt_asset_brand_pkey,"CREATE UNIQUE INDEX pmt_asset_brand_pkey ON plm.pmt_asset_brand USING btree (capture_id, asset_id, brand_source_id)",True,True,True,True,False,False,3,3,True,p,14327808,0,0,0,
public,style_tracker_rows,idx_style_tracker_rows_row_data_gin,CREATE INDEX idx_style_tracker_rows_row_data_gin ON public.style_tracker_rows USING gin (row_data),False,False,True,True,False,False,1,1,False,,14221312,0,0,0,
plm,pmt_authorized_property_asset,idx_pmt_apa_asset,"CREATE INDEX idx_pmt_apa_asset ON plm.pmt_authorized_property_asset USING btree (capture_id, asset_id)",False,False,True,True,False,False,2,2,False,,14213120,1,67876,0,2026-08-29 21:39:34.004924-04
plm,pmt_asset_franchise,pmt_asset_franchise_pkey,"CREATE UNIQUE INDEX pmt_asset_franchise_pkey ON plm.pmt_asset_franchise USING btree (capture_id, asset_id, franchise_source_id)",True,True,True,True,False,False,3,3,True,p,13885440,0,0,0,
public,style_guide_file_tags,idx_style_guide_file_tags_source,"CREATE INDEX idx_style_guide_file_tags_source ON public.style_guide_file_tags USING btree (source, status)",False,False,True,True,False,False,2,2,False,,13639680,1,1157220,161957,2026-08-30 20:41:28.391866-04
app,AuditLog,AuditLog_pkey,"CREATE UNIQUE INDEX ""AuditLog_pkey"" ON app.""AuditLog"" USING btree (id)",True,True,True,True,False,False,1,1,True,p,13180928,0,0,0,
dflow,AuditLog,AuditLog_pkey,"CREATE UNIQUE INDEX ""AuditLog_pkey"" ON dflow.""AuditLog"" USING btree (id)",True,True,True,True,False,False,1,1,True,p,13066240,1,580758,320,2026-09-02 15:56:11.935714-04
plm,pmt_asset,pmt_asset_pkey,"CREATE UNIQUE INDEX pmt_asset_pkey ON plm.pmt_asset USING btree (capture_id, asset_id)",True,True,True,True,False,False,2,2,True,f,12738560,0,0,0,
plm,pmt_asset,pmt_asset_pkey,"CREATE UNIQUE INDEX pmt_asset_pkey ON plm.pmt_asset USING btree (capture_id, asset_id)",True,True,True,True,False,False,2,2,True,f,12738560,0,0,0,
plm,pmt_asset,pmt_asset_pkey,"CREATE UNIQUE INDEX pmt_asset_pkey ON plm.pmt_asset USING btree (capture_id, asset_id)",True,True,True,True,False,False,2,2,True,f,12738560,0,0,0,
plm,pmt_asset,pmt_asset_pkey,"CREATE UNIQUE INDEX pmt_asset_pkey ON plm.pmt_asset USING btree (capture_id, asset_id)",True,True,True,True,False,False,2,2,True,f,12738560,0,0,0,
plm,pmt_asset,pmt_asset_pkey,"CREATE UNIQUE INDEX pmt_asset_pkey ON plm.pmt_asset USING btree (capture_id, asset_id)",True,True,True,True,False,False,2,2,True,f,12738560,0,0,0,
plm,pmt_asset,pmt_asset_pkey,"CREATE UNIQUE INDEX pmt_asset_pkey ON plm.pmt_asset USING btree (capture_id, asset_id)",True,True,True,True,False,False,2,2,True,f,12738560,0,0,0,
plm,pmt_asset,pmt_asset_pkey,"CREATE UNIQUE INDEX pmt_asset_pkey ON plm.pmt_asset USING btree (capture_id, asset_id)",True,True,True,True,False,False,2,2,True,p,12738560,0,0,0,
plm,pmt_asset,pmt_asset_pkey,"CREATE UNIQUE INDEX pmt_asset_pkey ON plm.pmt_asset USING btree (capture_id, asset_id)",True,True,True,True,False,False,2,2,True,f,12738560,0,0,0,
plm,pmt_asset,pmt_asset_pkey,"CREATE UNIQUE INDEX pmt_asset_pkey ON plm.pmt_asset USING btree (capture_id, asset_id)",True,True,True,True,False,False,2,2,True,f,12738560,0,0,0,
public,style_guide_files,idx_sgf_licensor_name,CREATE INDEX idx_sgf_licensor_name ON public.style_guide_files USING btree (licensor_name),False,False,True,True,False,False,1,1,False,,12640256,1,295340,295329,2026-09-03 10:21:39.32052-04
public,style_guide_files,idx_style_guide_files_tag_names,CREATE INDEX idx_style_guide_files_tag_names ON public.style_guide_files USING gin (tag_names),False,False,True,True,False,False,1,1,False,,12640256,0,0,0,
public,assets,idx_assets_pdf_not_deleted,"CREATE INDEX idx_assets_pdf_not_deleted ON public.assets USING btree (file_type, id) WHERE (is_deleted = false)",False,False,True,True,True,False,2,2,False,,12525568,599,77316505,36664875,2026-09-04 17:02:59.820394-04
plm,wb_asset_property,wb_asset_property_pkey,"CREATE UNIQUE INDEX wb_asset_property_pkey ON plm.wb_asset_property USING btree (asset_id, property_id)",True,True,True,True,False,False,2,2,True,p,12066816,1,188410,0,2026-08-29 21:39:34.004924-04
public,erp_items_raw,erp_items_raw_pkey,CREATE UNIQUE INDEX erp_items_raw_pkey ON public.erp_items_raw USING btree (id),True,True,True,True,False,False,1,1,True,p,11984896,0,0,0,
