styleGuide,characterName,identityName,metadata
Avengers,Crossbones ( Avengers ),Crossbones,"{""source_character_name"":""Crossbones ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518035999"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,"Danvers, Carol ( Avengers )",Carol Danvers,"{""source_character_name"":""Danvers, Carol ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""INVERT_SURNAME_FIRST"",""PRIMARY_ONLY""],""source_character_id"":""1159152495"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Doctor Druid ( Avengers ),Doctor Druid,"{""source_character_name"":""Doctor Druid ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159151423"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Dora Milaje ( Avengers ),Dora Milaje,"{""source_character_name"":""Dora Milaje ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159152496"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Dr. Doom ( Avengers ),Dr. Doom,"{""source_character_name"":""Dr. Doom ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036000"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Dr. Strange ( Avengers ),Dr. Strange,"{""source_character_name"":""Dr. Strange ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159151989"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Falcon ( Avengers ),Falcon,"{""source_character_name"":""Falcon ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518035266"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Frost Giants ( Avengers ),Frost Giants,"{""source_character_name"":""Frost Giants ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036001"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Ghost Rider (Robbie Reyes) ( Avengers ),Ghost Rider (Robbie Reyes),"{""source_character_name"":""Ghost Rider (Robbie Reyes) ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159151417"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Giant Man ( Avengers ),Giant Man,"{""source_character_name"":""Giant Man ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518035990"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Goliath ( Avengers ),Goliath,"{""source_character_name"":""Goliath ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159151416"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Hawkeye ( Avengers ),Hawkeye,"{""source_character_name"":""Hawkeye ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518033985"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Hela ( Avengers ),Hela,"{""source_character_name"":""Hela ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159152497"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Helicarrier ( Avengers ),Helicarrier,"{""source_character_name"":""Helicarrier ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036002"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Hercules ( Avengers ),Hercules,"{""source_character_name"":""Hercules ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518036003"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,"Hill, Maria ( Avengers )",Maria Hill,"{""source_character_name"":""Hill, Maria ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""INVERT_SURNAME_FIRST"",""PRIMARY_ONLY""],""source_character_id"":""518036004"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Hulk ( Avengers ),Hulk,"{""source_character_name"":""Hulk ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518033986"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Hulkbuster ( Avengers ),Hulkbuster,"{""source_character_name"":""Hulkbuster ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159151432"",""rendition"":{""guide_context"":""Avengers""}}"
