property,licensedPropertyID,optionSourceID,character,characterID,brandPropertyID
"Captain America 2 Movie - No Likeness","790","1007","Black Widow ( Captain America 2 Movie )","518034492","518034111"
"Captain America 2 Movie - No Likeness","790","1007","Captain America ( Captain America 2 Movie )","518034122","518034111"
"Captain America 2 Movie - No Likeness","790","1007","Captain America 2 Movie (General) ( Captain America 2 Movie )","1159152561","518034111"
"Captain America 2 Movie - No Likeness","790","1007","Captain America 2 Movie - No Likeness","518034113","518034111"
"Captain America 2 Movie - No Likeness","790","1007","Falcon ( Captain America 2 Movie )","518034491","518034111"
"Captain America 2 Movie - No Likeness","790","1007","General Family Char(Captain America) ( Captain America 2 Movie )","518034123","518034111"
"Captain America 2 Movie - No Likeness","790","1007","Hill, Maria ( Captain America 2 Movie )","1159152562","518034111"
"Captain America 2 Movie - No Likeness","790","1007","Hydra ( Captain America 2 Movie )","1159152563","518034111"
"Captain America 2 Movie - No Likeness","790","1007","Nick Fury ( Captain America 2 Movie )","1159152564","518034111"
"Captain America 2 Movie - No Likeness","790","1007","Rogers, Steve ( Captain America 2 Movie )","1159152565","518034111"
"Captain America 2 Movie - No Likeness","790","1007","Rumlow, Brock ( Captain America 2 Movie )","1159152559","518034111"
"Captain America 2 Movie - No Likeness","790","1007","S.H.I.E.L.D. ( Captain America 2 Movie )","1159152536","518034111"
"Captain America 2 Movie - No Likeness","790","1007","Sitwell, Jasper ( Captain America 2 Movie )","1159152534","518034111"
"Captain America 2 Movie - No Likeness","790","1007","Winter Soldier ( Captain America 2 Movie )","518034490","518034111"
"Captain America 2 Movie - With Likeness","776","1007","Black Widow ( Captain America 2 Movie )","518034492","518034111"
"Captain America 2 Movie - With Likeness","776","1007","Captain America ( Captain America 2 Movie )","518034122","518034111"
"Captain America 2 Movie - With Likeness","776","1007","Captain America 2 Movie - With Likeness","518034112","518034111"
"Captain America 2 Movie - With Likeness","776","1007","Falcon ( Captain America 2 Movie )","518034491","518034111"
"Captain America 2 Movie - With Likeness","776","1007","General Family Char(Captain America) ( Captain America 2 Movie )","518034123","518034111"
"Captain America 2 Movie - With Likeness","776","1007","Scarlett Johansson ( Captain America 2 Movie ) - With Likeness","1159372366","518034111"
"Captain America 2 Movie - With Likeness","776","1007","Winter Soldier ( Captain America 2 Movie )","518034490","518034111"
"Captain America Movie - No Likeness","612","1007","Bucky ( Captain America Movie )","518032998","518032609"
"Captain America Movie - No Likeness","612","1007","Captain America ( Captain America Movie )","518032999","518032609"
"Captain America Movie - No Likeness","612","1007","Captain America Movie (General) ( Captain America Movie )","1159152537","518032609"
"Captain America Movie - No Likeness","612","1007","Captain America Movie - No Likeness","518032610","518032609"
"Captain America Movie - No Likeness","612","1007","Captain Stacy ( Captain America Movie )","1159152535","518032609"
"Captain America Movie - No Likeness","612","1007","Carter, Peggy ( Captain America Movie )","1159152538","518032609"
"Captain America Movie - No Likeness","612","1007","Colonel Phillips ( Captain America Movie )","1159152539","518032609"
"Captain America Movie - No Likeness","612","1007","Dernier, Jacques ( Captain America Movie )","1159152540","518032609"
"Captain America Movie - No Likeness","612","1007","Doogan, Dum Dum ( Captain America Movie )","1159152541","518032609"
"Captain America Movie - No Likeness","612","1007","Erskine, Abraham ( Captain America Movie )","1159152546","518032609"
"Captain America Movie - No Likeness","612","1007","Falsworth, Brian ( Captain America Movie )","1159152547","518032609"
"Captain America Movie - No Likeness","612","1007","Falsworth, Montgomery ( Captain America Movie )","1159152542","518032609"
"Captain America Movie - No Likeness","612","1007","General Family Character (Captain America) ( Captain America Movie )","518033000","518032609"
"Captain America Movie - No Likeness","612","1007","Hydra ( Captain America Movie )","518033001","518032609"
"Captain America Movie - No Likeness","612","1007","Jones, Gabe ( Captain America Movie )","1159152548","518032609"
