"entity_type","composite_key","mg_code","source_name","canonical_id","canonical_code","canonical_name","match_evidence","status"
"property","EDGEHOME/SP001/06/SN","SN","SEINFELD","9981838d-f7b5-491a-bf4b-7b994ba3ef41","SN","SEINFELD","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SP","SP","SPIDER MAN","b8f98eb8-4d09-41f0-bc64-67cd8726f19a","SP","SPIDER MAN","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SR","SR","SONIC MODERN","b2d6def6-62bf-4303-9f94-220e03c3071b","SR","SONIC MODERN","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SS","SS","SHIMMER & SHINE","f17d7095-93a5-470a-8ae8-4de2a69bde0b","SS","SHIMMER & SHINE","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SSE","SSE","SHAUN THE SHEEP","5fa35966-05b3-4096-8098-86651031e9de","SSE","SHAUN THE SHEEP","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SSH","SSH","STRAWBERRY SHORTCAKE","c3110bab-f308-43b5-bcd2-025fe978650a","SSH","STRAWBERRY SHORTCAKE","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SSM","SSM","STRAWBERRY SHORTCAKE MODERN","15beb12a-b5ee-4e33-86b7-27037af444a4","SSM","STRAWBERRY SHORTCAKE MODERN","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/ST","ST","STORM TROOPER","33b25a70-4c46-43e5-bebb-83a20c4452bb","ST","STORM TROOPER","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SV","SV","STAR WARS VEHICLES GROUP","d8cc13f9-0d06-4a21-a789-88015d5ec15a","SV","STAR WARS VEHICLES GROUP","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SW","SW","STAR WARS GROUP","9243cc30-1292-46a8-a331-6a2a719bf65e","SW","STAR WARS GROUP","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SX","SX","SPIDEY & FRIENDS","9a46a47f-8223-44d9-bcd3-e5cb67858af4","SX","SPIDEY & FRIENDS","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SY","SY","SLYTHERIN","9fb14839-1dc9-4e31-889e-e32fe5a8b15a","SY","SLYTHERIN","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SZ","SZ","SANTA CLAUSE IS COMING TO TOWN","4529860c-f033-417a-b230-86b25db19d27","SZ","SANTA CLAUSE IS COMING TO TOWN","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/T0","T0","IT 1990 TELEVISION SERIES","8e23f07e-2e09-4303-b451-8326654a3224","T0","IT 1990 TELEVISION SERIES","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/T7","T7","IT 2017","6d5c880c-7402-4fc8-8eee-581f368873db","T7","IT 2017","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/T9","T9","IT CHAPTER TWO 2019","f886b697-8e88-4a48-896a-261a5dac393e","T9","IT CHAPTER TWO 2019","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/TB","TB","THE BATMAN MOVIE","99e3b4f5-f7ec-4d7a-b56a-9b71b374b61c","TB","THE BATMAN MOVIE","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/TF","TF","TIE FIGHTER","99ca498a-7418-4ba3-b062-d6503f11cee0","TF","TIE FIGHTER","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/TG","TG","THAT GIRL LAY LAY","ba04525e-3590-4b28-a467-cf6c22a0aa31","TG","THAT GIRL LAY LAY","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/TH","TH","THOR","85c8fe14-f6c6-4cfd-9eb9-646997c978a6","TH","THOR","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/TJ","TJ","TOM & JERRY","158e853d-81e3-4061-a72b-5f885e278163","TJ","TOM & JERRY","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/TL","TL","TED LASSO","6035073f-3993-45b1-baa9-594db3b634da","TL","TED LASSO","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/TN","TN","THANOS","8cbd5816-343c-424a-a871-54d3d5f0245d","TN","THANOS","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/TR","TR","TROLLS","64660cdc-0134-48a0-bd28-d325572e7ea1","TR","TROLLS","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/TS","TS","TOY STORY 4","74a90714-2926-4beb-a70c-c5570b963296","TS","TOY STORY 4","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/TU","TU","TOP GUN","f21afc9f-8e64-46f6-875f-757f97664a8b","TU","TOP GUN","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/UK","UK","LUKE SKYWALKER","4fb06294-3b3e-459e-87e9-1c6bf5911503","UK","LUKE SKYWALKER","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/UP","UP","UP MOVIE","ac30920a-ed79-4f75-8dfa-7fd206dff05b","UP","UP MOVIE","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/UT","UT","PEANUTS","4a9b6b9b-7f12-45fa-b901-5cc274a6e4b0","UT","PEANUTS","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/VG","VG","VILLAINS GROUP","238089bc-04d6-4e28-a385-17c1b05bdc2d","VG","VILLAINS GROUP","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/VN","VN","VENOM","a7154aa5-ae40-448c-a90d-48de856ba0c9","VN","VENOM","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/VT","VT","VOLDEMORT","b3d4b6a6-cdc6-4092-9049-cce9cf61b673","VT","VOLDEMORT","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/W1","W1","WICKED PART I","6198a8d7-e000-4025-a042-d42481af6756","W1","WICKED PART I","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/W2","W2","WICKED PART II","9c8f531f-32ab-4e23-a701-8ee73d92cef0","W2","WICKED PART II","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/WA","WA","WHERES WALDO","89a72f5f-798b-4902-9aab-4f01204720aa","WA","WHERES WALDO","code and normalized name agree","proposed_pending_human_approval"
